Level,ExpToNextLevel,GoodReward1,GoodAmount1,GoodReward2,GoodAmount2,GoodReward3,GoodAmount3,ThresholdRewardSet1,ThresholdRewardSet2,ThresholdRewardSet3,ThresholdRewardSet4,ThresholdRewardSet5,MaxFields,MaxEvents,CaretakerStorageCapacity,MillerStorageCapacity,MaxCatAmount,MaxCatHouseAmount,MaxDogAmount,MaxDogHouseAmount,MaxHorseAmount,MaxHorseHouseAmount,MaxDonkeyAmount,MaxDonkeyHouseAmount,MaxBunnyAmount,MaxBunnyHouseAmount,MaxKittenAmount,MaxKittenHouseAmount,MaxPuppyAmount,MaxPuppyHouseAmount,MaxGuineaPigAmount,MaxGuineaPigHouseAmount,MaxBirdAmount,MaxBirdHouseAmount,MaxChickenHabitats,MaxCowHabitats,MaxSheepHabitats,MaxPigHabitats,MaxGoatHabitats,MaxHammermills,MaxSugarMills,MaxSmelters,MaxBeeHabitats,MaxSquirrelHabitats,MinGoodsInOrderDelivery,MaxGoodsInOrderDelivery,OrderCancelTimeMin,OrderSpeedUpPrice,BoatOrderSpeedUpPrice,MaxOrderCount,CashExpMultiplier,EventCounterClicks,OrderMinValue,OrderMaxValue,DiamondsToCoinsRate,GuestOrderValue,MinCrateAmountInBoatOrder,MaxCrateAmountInBoatOrder,MinBoatOrderValue,MaxBoatOrderValue,MinGoodTypesInBoatOrder,MaxGoodTypesInBoatOrder,MinBoatStayTimeMinutes,MaxBoatStayTimeMinutes,BoatETAMinutes,BoatRewardMultiplier,SpecialOrderProbablity,SpecialOrderMaxCount,FeatureTID,FeaturePNGURL
799,11087000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,453,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,80,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
800,11107000,FreeDiamonds,425,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,453,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,80,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
801,11127000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,454,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
802,11147000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,454,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
803,11167000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,454,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
804,11187000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,454,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
805,11207000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,454,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
806,11227000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,454,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
807,11247000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,454,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
808,11267000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,454,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
809,11287000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,454,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
810,11307000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,454,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
811,11327000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,455,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
812,11347000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,455,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
813,11367000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,455,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
814,11387000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,455,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
815,11407000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,455,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
816,11427000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,455,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
817,11447000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,455,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
818,11467000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,455,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
819,11487000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,455,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
820,11507000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,455,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
821,11527000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,456,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
822,11547000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,456,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
823,11567000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,456,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
824,11587000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,456,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
825,11607000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,456,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
826,11627000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,456,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
827,11647000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,456,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
828,11667000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,456,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
829,11687000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,456,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
830,11707000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,456,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
831,11727000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,457,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
832,11747000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,457,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
833,11767000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,457,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
834,11787000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,457,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
835,11807000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,457,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
836,11827000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,457,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
837,11847000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,457,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,80,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
838,11867000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,457,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,80,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
839,11887000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,457,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,80,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
840,11907000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,457,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,80,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
841,11927000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,458,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,80,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
842,11947000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,458,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,80,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
843,11967000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,458,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
844,11987000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,458,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
845,12007000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,458,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
846,12027000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,458,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
847,12047000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,458,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
848,12067000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,458,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
849,12087000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,458,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
850,12107000,FreeDiamonds,50,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,458,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
851,12127000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,459,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
852,12147000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,459,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
853,12167000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,459,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
854,12187000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,459,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
855,12207000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,459,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
856,12227000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,459,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
857,12247000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,459,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
858,12267000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,459,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
859,12287000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,459,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
860,12307000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,459,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
861,12327000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,460,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
862,12347000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,460,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
863,12367000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,460,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
864,12387000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,460,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
865,12407000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,460,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
866,12427000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,460,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
867,12447000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,460,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
868,12467000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,460,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
869,12487000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,460,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
870,12507000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,460,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
871,12527000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,461,1712,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
